species,gridlat,gridlon,d18oc,d18osw,t_annual,t_seasonal,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
G. bulloides,-45.5,1.5,2.3075,-0.1491614729166031,7.332634449005127,7.332634449005127,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-45.5,9.5,2.335,-0.17227871716022491,7.273374557495117,7.273374557495117,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-45.5,82.5,1.96,-0.18770742416381836,9.032490730285645,9.032490730285645,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-45.5,86.5,1.84,-0.17381687462329865,9.407602310180664,9.407602310180664,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-45.5,174.5,1.871,0.09277549386024475,10.91064167022705,10.91064167022705,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-44.5,-14.5,1.9708956999999998,-0.06795110553503036,8.76965618133545,8.76965618133545,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-44.5,1.5,1.945714285714286,-0.11447758227586746,8.27304744720459,8.27304744720459,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-44.5,5.5,2.3508,-0.13151371479034424,8.020552635192871,8.020552635192871,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-44.5,80.5,1.7742408604353201,-0.0987883135676384,9.929491996765137,9.929491996765137,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,-79.5,1.94,-0.2514118254184723,12.252642631530762,12.252642631530762,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,-75.5,1.26,-0.3998914361000061,12.299320220947266,12.299320220947266,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,-59.5,2.69,-0.28027525544166565,10.016934394836426,10.016934394836426,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,-4.5,2.16395,-0.049826622009277344,9.486647605895996,9.486647605895996,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,11.5,2.16,-0.05281469598412514,9.734625816345215,9.734625816345215,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,51.5,2.4000000000000004,-0.20212259888648987,8.568406105041504,8.568406105041504,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-43.5,79.5,1.720786,0.01282527856528759,11.00119686126709,11.00119686126709,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-42.5,-75.5,1.28,-0.37103813886642456,12.761000633239746,12.761000633239746,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-42.5,-6.5,2.01265,0.012476516887545586,10.552952766418457,10.552952766418457,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-42.5,5.5,1.72,-0.06122744083404541,9.927509307861328,9.927509307861328,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-42.5,8.5,1.947975,-0.041415970772504807,10.085509300231934,10.085509300231934,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-42.5,12.5,2.1759999999999997,0.039412904530763626,11.372359275817871,11.372359275817871,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,-75.5,0.58,-0.3392544686794281,13.247649192810059,13.247649192810059,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,-74.5,1.85,-0.36475029587745667,13.186271667480469,13.186271667480469,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,-57.5,2.31,-0.2259264886379242,10.739933967590332,10.739933967590332,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,-14.5,1.0684,0.1136830598115921,12.113385200500488,12.113385200500488,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,-12.5,1.1626750000000001,0.10401128232479095,11.97607135772705,11.97607135772705,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,0.5,2.2560000000000002,0.0020435878541320562,11.249957084655762,11.249957084655762,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,7.5,1.9297,-0.0026146897580474615,11.014949798583984,11.014949798583984,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-41.5,13.5,2.27875,0.1560819000005722,13.277010917663574,13.277010917663574,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-40.5,9.5,1.955,0.09746689349412918,12.559617042541504,12.559617042541504,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-40.5,13.5,2.058,0.23643510043621063,14.648250579833984,14.648250579833984,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-40.5,25.5,2.460975,0.2954467833042145,16.220359802246094,16.220359802246094,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-38.5,-54.5,2.07,-0.25533944368362427,14.103510856628418,14.103510856628418,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-37.5,14.5,1.98,0.44249919056892395,17.90778160095215,17.90778160095215,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-37.5,78.5,0.7599648034495409,0.4634929597377777,15.42492389678955,15.42492389678955,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-35.5,-73.5,0.16249999999999998,-0.14259202778339386,13.716202735900879,13.716202735900879,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-35.5,16.5,2.0300000000000002,0.49494898319244385,18.35074234008789,18.35074234008789,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-35.5,18.5,0.38165000000000004,0.4932597577571869,18.326322555541992,18.326322555541992,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-35.5,80.5,0.84680009,0.4805174469947815,16.602563858032227,16.602563858032227,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-34.5,17.5,0.18333333333333335,0.48824211955070496,17.659364700317383,17.659364700317383,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-33.5,-73.5,0.24,-0.07362645119428635,15.084758758544922,15.084758758544922,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-33.5,-72.5,2.5700000000000003,-0.07348690927028656,14.804057121276855,14.804057121276855,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-32.5,-72.5,-0.31,-0.04116593673825264,15.353489875793457,15.353489875793457,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-30.5,-72.5,-0.31,0.02816939353942871,15.47311019897461,15.47311019897461,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-27.5,-71.5,-0.3183333333333333,0.1436951458454132,16.12361717224121,16.12361717224121,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-25.5,-75.5,0.6749999999999999,0.22114220261573792,18.07132339477539,18.07132339477539,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-25.5,12.5,0.09,0.4464278519153595,16.89929962158203,16.89929962158203,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-22.5,12.5,0.0566416128873824,0.46416911482810974,16.994508743286133,16.994508743286133,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-20.5,8.5,-0.010000000000000002,0.639690637588501,19.554689407348633,19.554689407348633,1,1,1,1,1,1,1,1,1,1,1,1
